transcript	CCL	CL	CT	T
atlasMiR-0-5p_CGG#5	1222.7570	7815.2710	9038.9322	 490.4532
atlasMiR-0-3p_CGG#5	1773.933	5105.202	4034.801	1986.087
atlasMiR-35_CCGGG#4	1008.7684	5921.1265	4795.7172	 237.4047
atlasMiR-35-5p_CCGGG#4	1716.190	1870.344	1888.905	2795.269
atlasMiR-35-3p_CCGGG#4	 748.53768	 405.24081	2596.20972	  21.97351
atlasMiR-83434-3p_CGGGG#4	1034.779	1368.440	1610.399	1352.800
atlasMiR-83434-5p_CGGGG#4	1147.5107	 634.7729	1608.0084	 439.3570
atlasMiR-37_CGCGG#3	 535.8478	1295.9537	1792.0143	 508.0554
atlasMiR-37-5p_CGCGG#3	 357.5474	1326.5841	1920.8257	 298.5608
atlasMiR-37-3p_CGCGG#3	 207.5476	1591.3494	1161.7479	1964.9024
atlasMiR-40_CGGGG#4	 312.48227	1973.46433	1226.37314	  20.27954
atlasMiR-40-5p_CGGGG#4	 226.4176	 939.2511	 821.9651	1115.5396
atlasMiR-83435-3p_CGGGG#4	621.8180	314.0968	703.9284	235.4949
atlasMiR-40-3p_CGGGG#4	132.24090	599.38730	693.32222	 14.48516
atlasMiR-83435-5p_CGGGG#4	146.331709	183.646164	677.904566	  3.655629
atlasMiR-83437_CGG#3	120.81728	312.41427	552.87318	 49.72923
atlasMiR-83437-5p_CGG#3	 87.25391	264.54391	555.29040	 48.54808
atlasMiR-83437-3p_CGG#3	147.9062	430.2288	249.6981	904.2563
atlasMiR-83443-3p_CGGGG#1	119.76699	588.78878	484.19868	 97.99121
atlasMiR-83443-5p_CGGGG#1	 77.02635	143.72090	390.52613	433.43959
atlasMiR-83444-3p_CGGGG#4	224.9364	418.6363	342.6463	274.3210
atlasMiR-83444-5p_CGGGG#4	 76.71186	183.04914	292.81952	640.23043
atlasMiR-48-5p_CCGGG#3	  62.75058	 144.73764	 133.23016	1233.08247
atlasMiR-48-3p_CCGGG#3	299.63506	 61.60189	157.33540	669.65407
atlasMiR-49-5p_CGGGG#4	 94.86986	177.97033	189.79357	780.40073
atlasMiR-49-3p_CGGGG#4	  14.03830	  23.53079	  81.56136	1139.77491
atlasMiR-53-5p_CCGGG#4	400.89783	520.83831	156.84306	 56.09823
atlasMiR-53-3p_CCGGG#4	170.5113	338.9783	239.2535	205.3784
atlasMiR-59-5p_CGGGG#3	 53.50311	225.80798	289.85251	167.06224
atlasMiR-59-3p_CGGGG#3	 60.09071	108.89982	321.03419	 34.22157
atlasMiR-63-3p_CGGGG#4	 76.61507	 82.56398	246.23025	124.00863
atlasMiR-66-5p_CGGG#3	 37.15516	 60.29850	 93.73566	710.43864
atlasMiR-66-3p_CGGG#3	 24.28656	 44.80153	105.95756	656.30093
atlasMiR-83459-5p_CGGGG#3	 43.36483	 71.26767	213.60799	231.51433
atlasMiR-83459-3p_CGGGG#3	 39.78606	 24.24896	 83.69355	689.93803
atlasMiR-83467-3p_CGGGG#4	226.24446	135.65861	162.68529	 19.61474
atlasMiR-83467-5p_CGGGG#4	 21.89902	 42.72323	 82.82799	710.14280
atlasMiR-83473-3p_CGGGG#4	 33.09952	 63.39101	255.66590	 11.05229
atlasMiR-83473-5p_CGGGG#4	 87.22993	327.04730	209.15277	 26.95928
atlasMiR-83474-5p_CGGGG#2	 30.62270	167.15589	219.63405	 43.37708
atlasMiR-83474-3p_CGGGG#2	 14.48683	 19.97849	 39.04291	732.52121
atlasMiR-83477-3p_CGGGG#4	 11.71666	 22.87509	 53.54477	605.26216
atlasMiR-83477-5p_CGGGG#4	 29.68431	 44.45576	193.67045	 48.23340
atlasMiR-84-5p_CGG#0	 44.99211	 86.98429	167.43189	 52.59532
atlasMiR-84-3p_CGG#0	  7.149244	 16.121840	 15.502035	665.921924
atlasMiR-87-5p_CGGGG#3	 51.71976	 61.63402	161.48969	 49.73359
atlasMiR-87-3p_CGGGG#3	 74.86109	253.24477	116.17626	141.99311
atlasMiR-83482-3p_CCGGG#4	 26.301077	 75.232850	181.779252	  1.669187
atlasMiR-83482-5p_CCGGG#4	 14.88639	 30.97483	 27.10442	576.47303
atlasMiR-83483_CGGGG#4	  6.002705	 13.725698	191.788005	  5.059354
atlasMiR-83483-5p_CGGGG#4	 27.81800	 70.12206	 80.22157	316.73494
atlasMiR-83483-3p_CGGGG#4	 23.32350	 72.22774	 67.77233	369.38680
atlasMiR-105_CGGGG#3	  8.000244	 13.587211	 30.856429	516.750114
atlasMiR-105-5p_CGGGG#3	 70.09582	 24.24299	 80.43715	188.91415
atlasMiR-105-3p_CGGGG#3	 60.669376	287.339865	127.280602	  2.523706
atlasMiR-107_CGCGG#4	 44.87175	117.58365	112.86180	103.02790
